Extra options: []
Measured: 10 times

Total Average: 346.137300 msec
Total Max:     586.829000 msec
Total Min:     208.216000 msec

  AVERAGE       MAX       MIN
------------------------------
57.618500 76.718000 44.272000: /Users/s09104/.config/nvim/init.vim
31.929000 76.115000  9.948000: loading rtp plugins
13.106500 29.239000  7.468000: /Users/s09104/.config/nvim/settings/init/plug.vim
12.431400 14.091000 10.466000: /Users/s09104/.config/nvim/settings/plugconfig/telescope.lua
12.374300 14.176000 10.476000: /Users/s09104/.config/nvim/settings/plugconfig/mason.lua
11.782800 13.407000  9.983000: require('telescope.builtin')
11.733200 18.161000  6.791000: inits 1
11.565000 13.200000  9.799000: require('telescope.builtin.__lsp')
 6.693600  8.200000  5.762000: require('telescope.actions')
 6.492600  8.263000  5.343000: /Users/s09104/.config/nvim/settings/plugconfig/fidget.lua
 5.464000  7.242000  4.639000: require('vim.lsp')
 5.401100  6.606000  4.796000: require('cmp')
 4.954900  6.138000  4.431000: require('cmp.core')
 4.213500  7.454000  2.898000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/plugin/matchit.vim
 4.144400  6.642000  2.667000: /Users/s09104/.vim/plugged/vim-vsnip/plugin/vsnip.vim
 4.034600  7.362000  3.167000: /Users/s09104/.vim/plugged/vim/colors/nord.vim
 4.009500  4.842000  3.283000: /Users/s09104/.config/nvim/settings/plugconfig/treesitter.lua
 3.950700  5.644000  3.322000: require('telescope.config')
 3.716400  6.046000  2.393000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vsnip.vim
 3.372300  5.549000  2.163000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vsnip/session.vim
 3.290400  4.826000  2.534000: require('trouble')
 3.126000  3.809000  2.557000: require('nvim-treesitter.configs')
 2.860100  3.542000  2.336000: require('nvim-treesitter.query')
 2.564500  4.289000  2.161000: require('vim.lsp.handlers')
 2.415100  3.141000  2.032000: /opt/homebrew/Cellar/neovim/0.9.1/share/nvim/runtime/syntax/syntax.vim
 2.206000  3.884000  1.442000: /Users/s09104/.vim/plugged/nvim-lspconfig/plugin/lspconfig.lua
 2.032700  3.342000  1.673000: require('telescope.pickers')
 2.023800  2.423000  1.745000: reading ShaDa
 1.965600  5.982000  0.782000: /Users/s09104/.local/share/nvim/site/autoload/plug.vim
 1.682100  2.333000  1.358000: require('trouble.view')
 1.647900  2.091000  1.412000: require('telescope.finders')
 1.438100  2.140000  1.191000: require('cmp.view')
 1.391300  1.774000  1.164000: require('telescope.sorters')
 1.388200  3.068000  1.106000: require('vim.lsp.util')
 1.345500  2.284000  0.619000: BufEnter autocommands
 1.328900  1.826000  1.084000: require('trouble.renderer')
 1.321100  2.398000  0.802000: /Users/s09104/.vim/plugged/vim-vsnip/autoload/vsnip/snippet.vim
 1.307700  2.394000  0.813000: require('vim.version')
 1.284000  1.613000  1.037000: require('nvim-treesitter.tsrange')
 1.242200  1.492000  1.016000: require('nvim-treesitter.compat')
 1.234800  2.179000  0.806000: /Users/s09104/.vim/plugged/vim-gitgutter/plugin/gitgutter.vim
 1.199600  5.082000  0.554000: /Users/s09104/.vim/plugged/rainbow_csv/autoload/rainbow_csv.vim
 1.174900  1.395000  1.060000: require('cmp.utils.async')
 1.157900  1.411000  0.948000: require('vim.treesitter')
 1.153700  2.572000  0.916000: require('mason')
 1.141400  1.480000  0.925000: require('nvim-treesitter.ts_utils')
 1.079200  4.747000  0.521000: /Users/s09104/.vim/plugged/copilot.vim/plugin/copilot.vim
 1.056500  2.313000  0.781000: require('vim.diagnostic')
 1.005800  1.225000  0.900000: require('cmp.config')
 0.980800  2.359000  0.511000: /Users/s09104/.vim/plugged/vim-fugitive/plugin/fugitive.vim
 0.959500  1.008000  0.922000: require('plenary.strings')
 0.954200  1.073000  0.796000: require('trouble.providers')
 0.928000  1.601000  0.745000: require('plenary.async.control')
 0.915500  1.171000  0.745000: require('vim.treesitter.languagetree')
 0.839500  1.248000  0.683000: require('nvim-treesitter.install')
 0.821500  1.862000  0.660000: sourcing vimrc file(s)
 0.821100  1.954000  0.651000: require('mason-core.platform')
 0.820300  1.040000  0.609000: require('lspconfig')
 0.817800  1.867000  0.515000: /Users/s09104/.vim/plugged/nvim-treesitter/plugin/nvim-treesitter.lua
 0.770200  0.905000  0.656000: require('plenary.popup')
 0.758900  1.159000  0.637000: require('vim.filetype.detect')
 0.756200  0.829000  0.646000: require('plenary.path')
 0.735200  1.097000  0.587000: require('nvim-treesitter.parsers')
